Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Datetime
2022-10-12 00:00:00-04:00,223.24329343026633,225.67976199963323,221.817084513453,223.58995056152344,21903900,0.0,0.0,2022-10-12 00:00:00-04:00
2022-10-13 00:00:00-04:00,217.74640723074594,233.84092176004546,217.033295224117,231.99871826171875,42551800,0.0,0.0,2022-10-13 00:00:00-04:00
2022-10-14 00:00:00-04:00,233.28625529683868,234.9700011278724,226.15515071128473,226.373046875,30198600,0.0,0.0,2022-10-14 00:00:00-04:00
2022-10-17 00:00:00-04:00,233.56360297851663,236.67355780855075,232.89010158627107,235.25723266601562,28142300,0.0,0.0,2022-10-17 00:00:00-04:00
2022-10-18 00:00:00-04:00,240.9126081639233,241.5959933308779,233.1179005371512,236.21795654296875,26329600,0.0,0.0,2022-10-18 00:00:00-04:00
2022-10-19 00:00:00-04:00,234.7719091975825,237.31732576545372,232.04822218872397,234.21726989746094,19985700,0.0,0.0,2022-10-19 00:00:00-04:00
2022-10-20 00:00:00-04:00,233.51407288779777,239.0010575447643,232.6226753407148,233.8904266357422,21811000,0.0,0.0,2022-10-20 00:00:00-04:00
2022-10-21 00:00:00-04:00,232.49395346013776,240.6749142402091,232.25624440053102,239.80332946777344,26299700,0.0,0.0,2022-10-21 00:00:00-04:00
2022-10-24 00:00:00-04:00,241.42761958210707,245.46858262838145,238.99116612552817,244.8842315673828,24911200,0.0,0.0,2022-10-24 00:00:00-04:00
2022-10-25 00:00:00-04:00,244.8941050090192,248.63793514149742,243.47779511544596,248.26158142089844,34775500,0.0,0.0,2022-10-25 00:00:00-04:00
2022-10-26 00:00:00-04:00,228.95806986992184,236.01985197427092,227.85869019559752,229.1066436767578,82543200,0.0,0.0,2022-10-26 00:00:00-04:00
2022-10-27 00:00:00-04:00,228.82931300824305,231.4539658479606,223.61964816923944,224.5803680419922,40424600,0.0,0.0,2022-10-27 00:00:00-04:00
2022-10-28 00:00:00-04:00,224.0752666882599,234.3361394043596,223.8870822527233,233.6131134033203,40647700,0.0,0.0,2022-10-28 00:00:00-04:00
2022-10-31 00:00:00-04:00,231.52328298514573,232.67218725635325,228.93825593132212,229.9088897705078,28357300,0.0,0.0,2022-10-31 00:00:00-04:00
2022-11-01 00:00:00-04:00,232.35526920388966,233.48436067099368,225.15482693665575,225.98678588867188,30592300,0.0,0.0,2022-11-01 00:00:00-04:00
2022-11-02 00:00:00-04:00,227.26444376532285,229.08683429973257,217.9345647045874,217.99400329589844,38407000,0.0,0.0,2022-11-02 00:00:00-04:00
2022-11-03 00:00:00-04:00,217.9840989168364,218.30104429998556,211.9325609115195,212.19998168945312,36633900,0.0,0.0,2022-11-03 00:00:00-04:00
2022-11-04 00:00:00-04:00,215.46841348322636,219.4697507925107,211.38782471377965,219.27166748046875,36789100,0.0,0.0,2022-11-04 00:00:00-04:00
2022-11-07 00:00:00-05:00,219.86592376098085,226.22449303450804,219.16271065157034,225.6896514892578,33498000,0.0,0.0,2022-11-07 00:00:00-05:00
